joaquim;1234;

@joaquim;1231;
@$joaquim;1231;
@$%joaquim;1231;
joaquim;joao;
joaquim;12323;
j#!@oaquim;12323;
j#!@oaquim;12323;
j#!@oaquim;12323;
j#!@oaquim;12323;
j#!@oaquim;12323;
joaao;12323;
!joaao;12323;
@joaao;12323;
@@joaao;12323;
@@@2@joaao;12323;
adak%opke;123456;
adakopke;123456;
adakoke;123456;
adkoke;123456;
teste;123456;
teste2;123456;
teste2;123456;
teste3;123456;
adakopke;7c4a8d09ca3762af61e59520943dc26494f8941b;
adakopke10;03ad09c8b63b2fc9d49c51220aa62abf10c8e3ba;
adakopke10;03ad09c8b63b2fc9d49c51220aa62abf10c8e3ba;
adakopke1;03ad09c8b63b2fc9d49c51220aa62abf10c8e3ba;
adakopke10;03ad09c8b63b2fc9d49c51220aa62abf10c8e3ba;
Adakopke10;03ad09c8b63b2fc9d49c51220aa62abf10c8e3ba;
Adapke10;03ad09c8b63b2fc9d49c51220aa62abf10c8e3ba;
certo;7c4a8d09ca3762af61e59520943dc26494f8941b;
